fid,firmness
t1,16.1
t2,21.3
t3,18.6
t4,15.8
t5,12.6
t6,15
t7,19.5
t8,5
t9,18
t10,13.2
t11,12.15
t12,15.1
t13,15.2
t14,12.8
t15,2.2
t16,3
t17,4.8
t18,0.8
t19,12.6
t20,8.3
t21,12.7
t22,8.4
t23,9.4
t24,11.1
t25,10.7
t26,15.9
t27,12.7
t28,9.9
t29,20
t30,11.9
t31,13.5
t32,11.8
t33,6.5
t34,10.5
t35,10.5
t36,15.5
t37,17.7
t38,16.6
t39,14.2
t40,14.1
t41,15.9
t42,12.1
t43,11.6
t44,16.9
t45,17.6
t46,17.1
t47,19.7
t48,14.8
t49,18.6
t50,14.3
t51,6.35
t52,9.35
t53,19.2
t54,11.6
t55,13.6
t56,16.2
t57,17.3
t58,14.1
t59,8.5
t60,20.1
t61,17.4
t62,22.9
t63,13.2
t64,14.3
t65,14.9
t66,27.2
t67,13.7
t68,12.7
t69,15.5
t70,16.6
t71,17.1
t72,21.2
t73,15.1
t74,14.7
t75,15.8
t76,7
t77,19.9
t78,14.1
t79,14.6
t80,14.5
t82,14.05
t83,17.15
t84,11.7
t85,15
t86,15.5
t87,12.1
t88,17.65
t89,14.45
t90,22.85
t91,14.1
t93,18.5
t94,19.05
t95,18.35
t96,18
t97,12.65
t98,14.3
t99,23.05
t100,18.05
t101,15.05
t102,11.9
t103,14.8
t104,19.25
t105,13.65
t106,16.85
t107,12.2
t108,15.05
t109,11.35
t110,14.1
t111,15.5
t112,26.4
t113,19.6
t114,13.3
t115,12.25
t116,11.9
t117,9.75
t118,14.1
t119,17.35
t121,18.15
t122,27.25
t123,17.75
t124,15.5
t125,13.55
t126,16.85
t127,17.1
t128,16.15
t129,10.7
t130,12.3
t131,12.4
t132,10.75
t134,18.1
t135,15.9
t136,13.4
t137,12.6
t138,14.7
t139,13.5
t140,13
t141,14.4
t142,13
t143,15.1
t144,12.8
t145,11.6
t146,15.7
t147,14.05
t148,12
t149,12.1
t150,15.4
t151,13.95
t152,13.4
t154,18.25
t155,12.85
t156,14.9
t157,14.9
t159,11.7
t160,16
t161,15.3
t162,13.15
t163,10.55
t164,16.3
t165,13.85
t166,14.5
t167,14.8
t168,14.9
t169,13.7
t170,15.1
t171,9.5
t172,15.2
t173,14.8
t174,10.7
t175,16
t176,15.85
t177,12.25
t178,16.4
t179,14.1
t180,8.4
t181,13.5
t182,12.2
t183,13.6
t184,12.75
t185,16.65
t186,12.4
t187,11.05
t188,17.8
t189,17.65
t191,11.95
t192,15.35
t193,18.55
t194,15.95
t195,11.05
t196,14.3
t197,17.25
t198,16.7
t199,13.2
t200,14.2
t201,10.9
t202,14.1
t203,15.55
t204,8.9
t205,16.75
t206,10.4
t207,7.3
t208,5.95
t209,10.05
t210,8.2
t211,9.3
t212,8.55
t213,8.65
t214,9
t215,8.9
t216,8.35
t217,12.2
t218,6.9
t219,13.8
t220,10.6
t221,12.8
t222,22.5
t223,10.8
t224,15.15
t225,18.3
t226,14.55
t227,13.15
t228,17.8
t229,12.4
t230,15.2
t231,8.6
t232,16.1
t233,17.4
t234,8.1
t235,13.7
t236,11.2
t237,12.7
t238,11.7
t239,14.8
t240,11.2
t241,15.4
t242,9.2
t243,11.3
t244,13.5
t245,16.9
t246,16.1
t247,16.4
t248,12.8
t249,11.6
t250,16.8
t251,13.3
t252,16.2
t253,13
t254,15.45
t255,11.15
t256,17.15
t257,10.4
t258,14.05
t259,15.35
t260,15.9
t261,17.95
t262,10.8
t263,16
t264,10.8
t265,9.9
t266,11.1
t267,10.9
t268,11.5
t269,10
