,fid,max0,max1,max2,mean0,mean1,mean2,min0,min1,min2,std0,std1,std2
0,t1,227,218,252,52.441162109375,59.872039794921875,140.3377227783203,4,7,9,39.55598502053038,40.31011888212915,38.96435838939317
0,t10,244,202,251,63.952789306640625,67.39321899414062,140.7759552001953,2,4,10,35.11774235042819,30.88275240577872,42.977567871885945
0,t100,255,255,255,36.325439453125,42.34272766113281,120.85638427734375,0,0,62,49.51844721714439,48.2012818405848,26.240458845691116
0,t101,255,255,255,34.40980529785156,44.15003967285156,128.87600708007812,0,0,57,48.627458738182824,47.477445634022175,27.88831628704253
0,t102,255,255,255,31.642242431640625,44.76554870605469,133.4073486328125,0,1,60,46.69172798690514,46.075264542740726,32.11958603914005
0,t103,255,255,255,42.05458068847656,52.281951904296875,131.04432678222656,0,0,62,55.72498143546236,52.71905565864851,32.33367243523495
0,t104,255,255,255,29.618911743164062,38.95222473144531,122.60069274902344,0,0,62,39.33186371826315,38.93019418342858,24.569533575363597
0,t105,255,255,255,30.772247314453125,39.05198669433594,120.12222290039062,0,0,56,46.54345880122172,46.3704736161341,28.81103803046149
0,t106,255,255,255,31.34417724609375,42.975006103515625,126.06423950195312,0,0,54,46.2673443806422,46.95490179991343,31.486623085764254
0,t107,255,255,255,32.49041748046875,38.75852966308594,111.91212463378906,0,0,49,46.30006527695105,46.78548740631969,28.336558089859366
0,t108,255,255,254,33.810821533203125,41.317291259765625,123.32203674316406,0,1,61,46.281815190398994,47.07828385652579,27.844055356194538
0,t109,255,255,255,29.706344604492188,44.524871826171875,126.25987243652344,0,0,55,42.995149844900496,43.97981171150432,30.895957626200513
0,t11,190,245,255,40.13658142089844,51.81944274902344,125.37562561035156,0,0,2,26.709283793368986,31.922778048472683,97.02059971243234
0,t110,255,255,255,26.319503784179688,38.63111877441406,121.12187194824219,0,0,58,38.730142914638726,39.33104163928854,25.735423763099718
0,t111,255,255,252,24.787139892578125,32.73374938964844,115.5062255859375,0,0,55,34.83034149447208,36.94982336786197,25.3286224515826
0,t112,255,255,255,31.421035766601562,41.1243896484375,121.54463195800781,0,0,56,40.91106116368183,42.713118137795234,29.587680524145032
0,t113,255,255,255,27.68145751953125,37.89385986328125,126.49952697753906,0,0,63,38.25182903772192,39.77679263794899,24.827968892501676
0,t114,255,255,255,33.17228698730469,41.24064636230469,125.78067016601562,0,0,57,42.61053735272475,44.86448231927514,28.811940047434696
